,train_volatility_class,test_volatility_class,train_volatility,test_volatility
TRX,"['low', 'low', 'low', 'low', 'low']","['low', 'low', 'low', 'low', 'low']","[0.002706907523098008, 0.002146696714132869, 0.0015213496838128026, 0.001568209274030716, 0.0019941590667479996]","[0.0011888797072617874, 0.0015275391942337706, 0.0019882089205965907, 0.002466729085413638, 0.0015629401299680499]"
ATOM,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.009215225373276419, 0.008039225030304641, 0.005384594836507585, 0.004208230450362376, 0.004310583523166146]","[0.0047267369160894305, 0.004516929362160973, 0.003381025072836724, 0.00503379613450074, 0.00340883543169372]"
XMR,"['normal', 'normal', 'normal', 'low', 'normal']","['low', 'low', 'low', 'normal', 'low']","[0.00460942392906027, 0.004050988448723395, 0.0034617158719740665, 0.002888035412748394, 0.003253170483541959]","[0.0026527687266212677, 0.0029697316857284026, 0.0030416058258955114, 0.0037481739390019648, 0.002480834162559801]"
VET,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","[0.0062811232221270785, 0.005726210194736463, 0.004519414179809182, 0.004080581577829762, 0.0041239212640695674]","[0.004635849848315393, 0.003853624362566705, 0.0037522705226071874, 0.0047658689070348105, 0.0026580689679700504]"
ALGO,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","[0.006564917881635052, 0.005653715181619567, 0.00476034628569814, 0.004765827094598034, 0.005071997679277831]","[0.004747893094735285, 0.004668025706448149, 0.004881562482610667, 0.005666404848774676, 0.0029870430337710953]"
EOS,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.006788357054385684, 0.006142805678381852, 0.004954726485553626, 0.004737494995551977, 0.004870675985778129]","[0.005004427310059782, 0.0046242714992275205, 0.00458378617736863, 0.0054039702807382375, 0.004402694817521871]"
CHZ,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']","[0.007675994324575843, 0.006812205130606226, 0.005359030542695855, 0.005020402400896616, 0.005391550686739951]","[0.00507414661466498, 0.005170201733914508, 0.004816858854110357, 0.0061875914721949855, 0.003796756058108919]"
IOTA,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']","[0.006438756430429926, 0.005479274577060038, 0.0043244546710029435, 0.004104575667510187, 0.004755922884791791]","[0.0038986938801932516, 0.00415787943289952, 0.004257153689437789, 0.005852735532038065, 0.0031909883757352746]"
NEO,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']","[0.007572890511511674, 0.006455739981611238, 0.0050462317781079374, 0.004654727907694863, 0.005267124722242199]","[0.004944430882758958, 0.004032156881173997, 0.004987595959151634, 0.006781621326400966, 0.0039402338092358056]"
XTZ,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.006423452950746203, 0.005822426313175541, 0.005114712293888464, 0.004730699800399463, 0.00474550601525049]","[0.005036576738122853, 0.004664579243118492, 0.004490943419957048, 0.0050809953826759305, 0.003850199753426132]"
